Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-196a-5p	4	23	NA	11	51	5	NA	12	NA	11	NA	NA	3	7	1
miR-196b-5p	4	23	NA	12	51	5	NA	12	NA	11	NA	NA	3	7	1
miR-197-3p	20	11	3	35	26	28	3	9	28	27	58	39	27	13	18
miR-199a-3p	170	460	146	126	769	78	152	238	10	253	16	11	98	140	592
miR-199a-5p	75	183	44	50	407	25	41	94	NA	103	6	5	31	60	205
miR-199b-3p	170	460	146	126	769	78	152	238	10	253	16	11	98	140	592
miR-199b-5p	32	116	2	30	205	12	5	51	NA	67	3	NA	18	29	17
miR-19a-3p	5	3	1	1	10	NA	1	2	NA	NA	2	1	3	NA	7
miR-19b-3p	4	4	1	1	12	NA	2	2	NA	NA	2	1	3	1	7
miR-200a-3p	2	10	NA	NA	9	2	NA	8	1	1	NA	1	1	1	NA
miR-203a	30	86	5	21	157	9	2	37	NA	51	1	NA	8	24	21
miR-203b-3p	1	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA
miR-204-5p	17	2	4	55	8	35	1	2	60	34	255	130	43	22	16
miR-205-5p	34	105	NA	21	183	18	NA	59	NA	69	NA	1	14	28	NA
miR-20a-3p	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
miR-20a-5p	16	24	23	13	48	14	39	10	4	19	18	7	9	13	111
miR-20b-5p	2	NA	NA	1	1	1	NA	2	NA	1	2	1	NA	2	NA
miR-21-3p	15	28	35	11	59	3	35	13	NA	31	1	2	8	11	104
miR-21-5p	4	9	12	1	19	1	4	2	NA	7	3	2	5	1	37
miR-210-3p	3	9	2	3	14	4	4	3	2	7	5	3	2	4	10
miR-211-5p	17	2	4	55	8	35	1	2	60	35	255	129	43	22	16
miR-2113	1	NA	NA	NA	NA	NA	NA	NA	1	NA	2	2	1	NA	NA
miR-2115-5p	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	1	NA	NA
miR-215-5p	491	85	3003	656	152	452	2789	52	54	679	142	53	424	362	12110
miR-216a-3p	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-216a-5p	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	1	1
miR-218-5p	19	18	1	35	21	23	1	10	29	25	59	36	11	15	1
miR-219a-2-3p	14	NA	NA	39	NA	25	NA	NA	36	20	107	68	40	3	NA
miR-219a-5p	2	NA	NA	8	NA	NA	NA	NA	3	2	15	6	3	1	NA
