Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-1909-3p	6	7	10	11	10	7	6	8	12	16	4	11	3	5	2
miR-190a	55	43	12	60	26	40	10	33	127	63	72	108	61	66	2
miR-190b	2	4	4	1	3	4	1	3	1	3	1	4	5	6	1
miR-191-5p	3309	3473	1778	3118	3684	1659	1677	3324	3634	3779	2505	2840	1593	2481	862
miR-1910	4	1	9	3	6	3	7	2	1	6	1	1	2	3	6
miR-1911-5p	7	6	4	5	8	10	5	4	11	8	9	16	9	6	2
miR-1912	9	2	4	8	5	4	2	5	4	6	4	6	3	4	1
miR-1913	10	9	5	13	13	8	3	10	2	13	4	4	7	11	3
miR-1914-5p	2	3	7	6	8	5	3	6	6	5	3	7	3	7	5
miR-1915-3p	3	9	5	18	10	11	6	9	8	6	11	7	8	4	1
miR-192-5p	295	61	914	300	69	92	1108	49	99	315	77	59	179	181	357
miR-193a-3p	21	18	19	18	17	7	18	18	12	17	11	18	11	19	6
miR-193a-5p	79	54	157	67	47	71	160	34	70	88	51	37	61	63	76
miR-193b-3p	152	189	75	91	175	41	85	186	61	185	44	35	68	126	34
miR-194-5p	1973	159	6978	1627	147	520	7076	188	296	1910	167	168	396	692	1713
miR-195-5p	238	65	161	315	56	184	184	68	631	259	498	326	299	211	92
miR-196a-5p	14	28	4	9	12	12	6	16	6	19	6	7	16	19	3
miR-196b-5p	111	154	5	47	163	33	10	125	2	110	3	4	58	96	10
miR-197-3p	70	22	18	131	29	26	39	19	280	69	299	210	54	44	16
miR-1972	2	10	4	12	5	11	8	6	17	13	8	13	3	14	4
miR-1973	10	12	10	14	18	10	13	5	12	8	17	7	20	6	6
miR-1976	1	1	1	4	6	4	2	1	5	1	2	3	6	1	1
miR-198	13	13	4	10	9	3	11	8	6	8	6	5	15	8	4
miR-199a-3p	5883	8319	2636	3218	8056	1256	2574	8279	185	6465	120	156	2392	6489	1835
miR-199a-5p	1989	2671	1014	1055	2902	585	977	2662	63	2174	62	41	1304	2433	759
miR-199b-5p	1106	1727	88	510	1734	181	74	1642	22	1150	20	37	376	895	38
miR-19a-3p	376	222	409	224	191	78	380	251	150	280	103	53	173	217	187
miR-19b-3p	1441	1073	1720	935	891	493	1691	1037	698	1385	515	308	457	632	482
miR-200a-3p	31	9	76	17	9	15	74	3	12	18	4	9	13	23	43
miR-200b-3p	179	74	575	165	47	128	561	61	25	213	22	30	125	149	336
miR-200c-3p	4035	5475	45	1910	5179	1451	33	4769	20	4085	15	15	1387	2605	16
miR-202-3p	4	6	3	6	4	2	2	10	3	7	5	7	6	3	3
miR-203	264	385	76	136	331	103	76	337	44	273	27	22	81	162	20
miR-204-5p	2472	227	159	4523	192	2379	139	178	9608	2628	7398	6113	3386	1951	67
miR-205-5p	1134	1318	13	430	1374	181	12	1384	9	1053	7	4	256	609	5
miR-2052	12	11	3	8	7	5	11	6	5	7	5	3	9	8	5
miR-2053	8	10	5	13	6	10	10	13	20	13	5	6	6	13	8
miR-2054	7	7	5	7	10	7	2	3	5	5	1	7	2	11	6
miR-206	43	8	6	76	10	71	4	5	162	64	140	154	99	58	2
miR-208a	9	8	8	15	10	9	8	8	11	11	8	8	10	5	1
miR-208b	9	11	10	9	19	8	9	11	4	11	9	6	11	9	3
miR-20a-5p	1049	931	1287	719	722	499	1238	845	433	1033	348	241	610	636	514
miR-21-5p	6217	8829	2962	2763	6376	3052	2921	7370	50	6655	68	1	3806	6270	1898
miR-210	29	34	19	32	28	29	18	23	30	33	18	20	8	7	8
miR-211-5p	10	18	4	12	11	6	2	17	11	6	4	6	5	5	3
miR-2110	17	7	5	16	16	13	7	8	20	15	17	17	9	6	4
miR-2113	3	3	3	5	4	3	2	5	7	3	1	1	10	4	3
miR-2114-5p	9	5	4	8	10	3	7	5	9	12	4	6	5	6	3
miR-2115-5p	3	1	3	1	4	1	5	1	4	6	1	4	2	2	3
miR-2116-5p	10	12	8	12	11	10	13	10	8	9	11	13	9	10	1
miR-2117	13	13	9	10	9	11	7	10	17	20	8	11	14	16	5
miR-212-3p	5	10	4	10	6	6	6	6	13	12	6	7	7	11	3
miR-214-3p	57	43	67	36	70	17	91	57	8	73	6	8	26	43	29
miR-215	11	13	14	9	9	10	15	6	6	9	4	8	22	18	20
miR-216a	18	43	4	6	22	15	15	22	18	16	12	10	25	22	15
miR-216b	16	19	22	17	14	22	12	9	19	17	7	25	15	14	8
miR-217	21	14	16	20	20	8	18	13	13	13	11	10	31	21	8
miR-218-5p	1518	461	53	2482	362	1690	40	372	4935	1569	3577	4140	3004	1941	32
miR-219-1-3p	12	12	11	14	16	11	5	18	7	13	10	6	12	13	5
miR-219-2-3p	937	9	4	1838	7	1508	4	6	3639	1018	2581	3057	1400	820	5
miR-219-5p	259	10	3	392	19	316	8	8	954	241	722	495	372	172	6
miR-22-3p	1396	1509	1460	1136	1217	682	1459	1259	896	1599	629	625	889	843	562
miR-221-3p	1347	1220	47	842	1200	136	48	1305	989	1237	703	404	531	802	23
miR-222-3p	1425	2253	107	994	2131	750	91	1970	629	1540	485	508	928	1526	70
miR-223-3p	2292	2844	2167	1490	2756	895	2056	2468	729	2486	550	492	1469	2461	1311
miR-224-5p	7	9	3	4	12	4	3	6	7	5	1	7	5	11	7
miR-2276	8	5	7	4	11	12	7	5	11	11	6	9	4	8	7
miR-2277-3p	9	9	7	7	6	5	8	5	7	8	6	3	12	10	5
miR-2277-5p	5	5	1	6	3	1	3	11	3	2	3	2	3	3	1
miR-2278	3	7	2	7	6	4	3	10	2	8	3	2	7	12	3
miR-23a-3p	17480	26516	1900	9236	29065	5575	1838	26190	1577	18661	1191	1181	9410	23886	1644
miR-23b-3p	5802	5511	3734	4631	5219	2199	3527	4809	4638	6115	3718	2692	2558	3711	1503
miR-23c	16	11	8	9	11	6	14	12	11	9	6	9	7	6	4
miR-24-3p	3229	3459	564	1526	3116	760	509	3201	660	2887	412	272	514	1298	138
miR-25-3p	829	733	585	707	584	247	597	780	784	899	524	506	565	874	395
miR-2682-5p	28	24	16	30	31	16	28	27	23	35	18	10	11	9	11
miR-26a-5p	1270	1770	584	1649	1854	1838	648	1123	2418	1450	2355	2724	3144	2162	562
miR-26b-5p	2656	4071	1117	1772	3320	1486	1139	3143	1477	3024	1267	1044	2165	2518	610
miR-27a-3p	99	102	12	48	130	17	15	121	10	88	16	6	38	69	11
miR-27b-3p	5748	4126	4141	4275	4457	985	4706	4889	4547	6074	3302	2096	2305	3470	1712
miR-28-3p	104	108	125	72	80	70	129	94	81	95	60	54	67	67	55
miR-28-5p	342	494	389	293	465	227	350	488	156	428	114	137	415	595	337
miR-296-3p	5	6	3	3	6	2	1	2	3	4	1	1	4	6	6
miR-296-5p	60	46	57	66	44	26	45	46	120	67	73	69	60	44	20
miR-297	11	10	13	23	15	9	15	11	11	20	6	10	27	14	16
miR-298	4	3	5	1	3	3	4	4	5	2	6	3	3	4	5
miR-299-3p	53	54	23	52	42	37	16	49	78	50	56	53	52	38	9
miR-299-5p	327	311	18	363	327	166	20	304	522	333	369	335	394	474	15
miR-29a-3p	1892	1774	787	1818	911	1155	584	1342	2597	2110	1835	1655	984	976	236
miR-29b-3p	8359	8788	1860	8133	8000	6119	2020	7104	14307	9836	13241	10525	11311	10374	1349
miR-29c-3p	1057	588	369	1258	550	620	394	608	2401	1144	1819	1611	1639	1389	281
miR-300	7	12	4	11	12	6	8	4	3	10	2	8	4	7	3
